"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","HTTP","",""
"pre_128cipher","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","No 128 cipher limit bug","",""
"SSLv2","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","not offered","",""
"SSLv3","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","not offered","",""
"TLS1","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","not offered","",""
"TLS1_1","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","not offered","",""
"TLS1_2","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","offered","",""
"TLS1_3","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","offered with final","",""
"ALPN_HTTP2","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","h2","",""
"ALPN","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","http/1.1","",""
"cipherlist_NULL","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","not offered","","CWE-327"
"cipherlist_LOW","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","not offered","",""
"cipherlist_STRONG_FS","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","offered","",""
"cipher_order-tls1_2","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","server","",""
"cipherorder_TLSv1_2","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","server","",""
"FS","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","offered","",""
"FS_ciphers","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","yes","",""
"sessionresumption_ticket","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","not supported","",""
"sessionresumption_ID","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","not supported","",""
"TLS_timestamp","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","random","",""
"certificate_compression","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","none","",""
"clientAuth","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","none","",""
"cert_numbers","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","1","",""
"cert_signatureAlgorithm","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","SHA256 with RSA","",""
"cert_keySize","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","04DC7D1FF62AB73D8BDC6FED6C18B45E98B0","",""
"cert_serialNumberLen","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","18","",""
"cert_fingerprintSHA1","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","EB34A11F491E3042D7101349122467EA136133ED","",""
"cert_fingerprintSHA256","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","5C2435F5B5A85DF087C529E911831D2F639DB121C0B6EE6DBCAEE73BC3192CB7","",""
"cert","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFATCCA+mgAwIBAgISBNx9H/Yqtz2L3G/tbBi0XpiwMA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTAwHhcNMjUwMzA0MTAwNjQxWhcNMjUwNjAyMTAwNjQwWjAjMSEwHwYDVQQDExhjYXJ0ZS12ZXJ0ZS5iZXRhLmdvdXYuZnIwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQDDsC5gebRez4zZPrL03/h6CWFbIEhDnQlHY2f+3nIkeZUaR74xsXlaCOhakOUdrbJS0+kHzghMWOCQfxV5Gd2Q6RzbcnNZNpRMitwYYV7lMBp/QEZsAEbXiRTT6PMcXKU2rZImdohed9DxH75TPmOP2njxH4otg/DpXMTIiTJKOt9HLstVbTYUzqj/o3KYpkyrUR5VAP0xta0AoFHpnCzPABZ+16xo42CiVEXBYwELxT+XA8fIhXfohPNHLjDcorYP4yxRXHwpX2HWJ+QSrRM4LZKiTLZ88xC/P+9whbV65M80Rf81Tj+EOOcBVCoIoMneB0P5PiEC3xBwVWyPYmNlAgMBAAGjggIdMIICGTAOBgNVHQ8BAf8EBAMCBaAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMAwGA1UdEwEB/wQCMAAwHQYDVR0OBBYEFHkng33r4BYjMuecKlSjDw0EOEo7MB8GA1UdIwQYMBaAFLu8w0el5LypxsOkcgwQjaI14cjoMFcGCCsGAQUFBwEBBEswSTAiBggrBgEFBQcwAYYWaHR0cDovL3IxMC5vLmxlbmNyLm9yZzAjBggrBgEFBQcwAoYXaHR0cDovL3IxMC5pLmxlbmNyLm9yZy8wIwYDVR0RBBwwGoIYY2FydGUtdmVydGUuYmV0YS5nb3V2LmZyMBMGA1UdIAQMMAowCAYGZ4EMAQIBMIIBBQYKKwYBBAHWeQIEAgSB9gSB8wDxAHcAzPsPaoVxCWX+lZtTzumyfCLphVwNl422qX5UwP5MDbAAAAGVYNTDdgAABAMASDBGAiEAt+4YjZcZ3Sj4NYNxVL//QUr9sdi88fPxTNSF6vYkp/MCIQDRDcV0JJqwuD8/f2cX89jXa1HrBkxcfwY/tAk5XyTuwQB2AE51oydcmhDDOFts1N8/Uusd8OCOG41pwLH6ZLFimjnfAAABlWDUw2EAAAQDAEcwRQIhALg6k5jnP5uKolYEzPRGRAJL2eLWiCUV+QcfirZSmHtaAiBs7G90jCGvvTw30bU8Phu3xGkX4I9YDqgV5gB+m3Fx8TANBgkqhkiG9w0BAQsFAAOCAQEAbvzphrJMH4hwI8qIJe3ZfLgMsPZ9MjkJe2ni+UmceTYBcN5Tjpdl680Bo3HNuX7F7jovjT7ErB/Rudra5GFWscRTjlJtjdLhVBfiTwbwGt/iV7ZIqvUN2RspPMGxZXseYT0hAv8mnWbHuBlojGe3SyFdDmYF2HVnHSJPNR7aTDhtAzLS7KMuYHztoTe0smg+746jngZqYPk7MkD/ZWIVknZ3+FymcDN7ESYQ0ndB0oEkcniVLoe1BsPvmh6YCvNJhQX+lebJtFDk6VlAL+PPNKNMWyr8XjtmtuSQtfmErvehB2V7E+MO8RpgrPTdDAtdpdkI2I14CHPKm/XWjMmUmA==\n-----END CERTIFICATE-----","",""
"cert_commonName","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","carte-verte.beta.gouv.fr","",""
"cert_commonName_wo_SNI","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","*.osc-fr1.scalingo.io","",""
"cert_subjectAltName","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","carte-verte.beta.gouv.fr","",""
"cert_trust","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_trust_wildcard","carte-verte.beta.gouv.fr/148.253.75.120","443","LOW","trust is via wildcard","",""
"cert_chain_of_trust","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","passed.","",""
"cert_certificatePolicies_EV","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","no","",""
"cert_expirationStatus","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","71 >= 30 days","",""
"cert_notBefore","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","2025-03-04 10:06","",""
"cert_notAfter","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","2025-06-02 10:06","",""
"cert_extlifeSpan","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","not present","",""
"cert_crlDistributionPoints","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","--","",""
"cert_ocspURL","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","http://r10.o.lencr.org","",""
"OCSP_stapling","carte-verte.beta.gouv.fr/148.253.75.120","443","LOW","not offered","",""
"cert_mustStapleExtension","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","--","",""
"DNS_CAArecord","carte-verte.beta.gouv.fr/148.253.75.120","443","LOW","--","",""
"certificate_transparency","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","yes (certificate extension)","",""
"certs_countServer","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","2","",""
"certs_list_ordering_problem","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","no","",""
"cert_caIssuers","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","R10 (Let's Encrypt from US)","",""
"intermediate_cert <#1>","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFBTCCAu2gAwIBAgIQS6hSk/eaL6JzBkuoBI110DANBgkqhkiG9w0BAQsFADBPMQswCQYDVQQGEwJVUzEpMCcGA1UEChMgSW50ZXJuZXQgU2VjdXJpdHkgUmVzZWFyY2ggR3JvdXAxFTATBgNVBAMTDElTUkcgUm9vdCBYMTAeFw0yNDAzMTMwMDAwMDBaFw0yNzAzMTIyMzU5NTlaMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTAwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQDPV+XmxFQS7bRH/sknWHZGUCiMHT6I3wWd1bUYKb3dtVq/+vbOo76vACFLYlpaPAEvxVgD9on/jhFD68G14BQHlo9vH9fnuoE5CXVlt8KvGFs3Jijno/QHK20a/6tYvJWuQP/py1fEtVt/eA0YYbwX51TGu0mRzW4Y0YCF7qZlNrx06rxQTOr8IfM4FpOUurDTazgGzRYSespSdcitdrLCnF2YRVxvYXvGLe48E1KGAdlX5jgc3421H5KRmudKHMxFqHJV8LDmowfs/acbZp4/SItxhHFYyTr6717yW0QrPHTnj7JHwQdqzZq3DZb3EoEmUVQK7GH29/Xi8orIlQ2NAgMBAAGjgfgwgfUwDgYDVR0PAQH/BAQDAgGGMB0GA1UdJQQWMBQGCCsGAQUFBwMCBggrBgEFBQcDATASBgNVHRMBAf8ECDAGAQH/AgEAMB0GA1UdDgQWBBS7vMNHpeS8qcbDpHIMEI2iNeHI6DAfBgNVHSMEGDAWgBR5tFnme7bl5AFzgAiIyBpY9umbbjAyBggrBgEFBQcBAQQmMCQwIgYIKwYBBQUHMAKGFmh0dHA6Ly94MS5pLmxlbmNyLm9yZy8wEwYDVR0gBAwwCjAIBgZngQwBAgEwJwYDVR0fBCAwHjAcoBqgGIYWaHR0cDovL3gxLmMubGVuY3Iub3JnLzANBgkqhkiG9w0BAQsFAAOCAgEAkrHnQTfreZ2B5s3iJeE6IOmQRJWjgVzPw139vaBw1bGWKCIL0vIozwzn1OZDjCQiHcFCktEJr59L9MhwTyAWsVrdAfYf+B9haxQnsHKNY67u4s5Lzzfdu6PUzeetUK29v+PsPmI2cJkxp+iN3epi4hKu9ZzUPSwMqtCceb7qPVxEbpYxY1p91n5PJKBLBX9eb9LU6l8zSxPWV7bK3lG4XaMJgnT9x3ies7msFtpKK5bDtotij/l0GaKeA97pb5uwD9KgWvaFXMIEt8jVTjLEvwRdvCn294GPDF08U8lAkIv7tghluaQh1QnlE4SEN4LOECj8dsIGJXpGUk3aU3KkJz9icKy+aUgA+2cP21uh6NcDIS3XyfaZQjmDQ993ChII8SXWupQZVBiIpcWO4RqZk3lr7Bz5MUCwzDIA359e57SSq5CCkY0N4B6Vulk7LktfwrdGNVI5BsC9qqxSwSKgRJeZ9wygIaehbHFHFhcBaMDKpiZlBHyzrsnnlFXCb5s8HKn5LsUgGvB24L7sGNZP2CX7dhHov+YhD+jozLW2p9W4959Bz2EiRmqDtmiXLnzqTpXbI+suyCsohKRg6Un0RC47+cpiVwHiXZAW+cn8eiNIjqbVgXLxKPpdzvvtTnOPlC7SQZSYmdunr3Bf9b77AiC/ZidstK36dRILKz7OA54=\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","9D7C3F1AA6AD2B2EC0D5CF1E246F8D9AE6CBC9FD0755AD37BB974B1F2FB603F3","",""
"intermediate_cert_notBefore <#1>","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","2024-03-13 00:00","",""
"intermediate_cert_notAfter <#1>","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","2027-03-12 23:59","",""
"intermediate_cert_expiration <#1>","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","R10 <-- ISRG Root X1","",""
"intermediate_cert_badOCSP","carte-verte.beta.gouv.fr/148.253.75.120","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","200 OK ('/')","",""
"HTTP_clock_skew","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","-1 seconds from localtime","",""
"HTTP_headerTime","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","1742694985","",""
"HSTS","carte-verte.beta.gouv.fr/148.253.75.120","443","LOW","not offered","",""
"HPKP","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","carte-verte.beta.gouv.fr/148.253.75.120","443","INFO","No Server banner line in header, interesting!","",""
